,dong,quarter,pop_floating
159,강남구 논현2동,20222,3924396
160,강남구 논현2동,20222,3175457
161,강남구 논현2동,20222,3238976
162,강남구 논현2동,20223,3167565
163,강남구 논현2동,20223,3111691
164,강남구 논현2동,20223,3260606
165,강남구 논현2동,20223,3328099
166,강남구 논현2동,20224,3238015
167,강남구 논현2동,20231,2985244
168,강남구 논현2동,20231,3070029
169,강남구 논현2동,20231,3496473
170,강남구 논현2동,20232,3259219
171,강남구 논현2동,20232,3346764
172,강남구 논현2동,20232,3370895
173,강남구 논현2동,20232,3330519
174,강남구 논현2동,20233,3318629
175,강남구 논현2동,20233,3170272
176,강남구 논현2동,20233,3265903
177,강남구 논현2동,20233,3352982
178,강남구 논현2동,20234,3204511
179,강남구 논현2동,20241,3255567
180,강남구 논현2동,20241,2905471
181,강남구 논현2동,20241,3352793
182,강남구 논현2동,20242,3354583
183,강남구 논현2동,20242,3391235
184,강남구 논현2동,20242,3238806
185,강남구 논현2동,20242,3446952
186,강남구 대치1동,20221,1732332
187,강남구 대치1동,20221,1464968
188,강남구 대치1동,20221,1645654
189,강남구 대치1동,20222,1826909
190,강남구 대치1동,20222,2266987
191,강남구 대치1동,20222,1918376
192,강남구 대치1동,20222,1927299
193,강남구 대치1동,20223,1900310
194,강남구 대치1동,20223,1919279
195,강남구 대치1동,20223,1948302
196,강남구 대치1동,20223,1903950
197,강남구 대치1동,20224,1808574
198,강남구 대치1동,20231,1797939
199,강남구 대치1동,20231,1818227
200,강남구 대치1동,20231,2114779
201,강남구 대치1동,20232,1959261
202,강남구 대치1동,20232,2019007
203,강남구 대치1동,20232,1999300
204,강남구 대치1동,20232,1979847
205,강남구 대치1동,20233,2018989
206,강남구 대치1동,20233,1991028
207,강남구 대치1동,20233,2024065
208,강남구 대치1동,20233,1945653
209,강남구 대치1동,20234,1826890
210,강남구 대치1동,20241,1973507
211,강남구 대치1동,20241,1782301
212,강남구 대치1동,20241,2104621
213,강남구 대치1동,20242,2066097
214,강남구 대치1동,20242,2081015
215,강남구 대치1동,20242,2055149
216,강남구 대치1동,20242,2104945
217,강남구 대치2동,20221,2719985
218,강남구 대치2동,20221,2328740
219,강남구 대치2동,20221,2585261
220,강남구 대치2동,20222,2920518
221,강남구 대치2동,20222,3789935
222,강남구 대치2동,20222,3088092
223,강남구 대치2동,20222,3167397
224,강남구 대치2동,20223,3093931
225,강남구 대치2동,20223,3031695
226,강남구 대치2동,20223,3208697
227,강남구 대치2동,20223,3204012
228,강남구 대치2동,20224,3132525
229,강남구 대치2동,20231,2948703
230,강남구 대치2동,20231,3060721
231,강남구 대치2동,20231,3512778
232,강남구 대치2동,20232,3288172
233,강남구 대치2동,20232,3356212
234,강남구 대치2동,20232,3330342
235,강남구 대치2동,20232,3276992
236,강남구 대치2동,20233,3307963
237,강남구 대치2동,20233,3156045
238,강남구 대치2동,20233,3239537
239,강남구 대치2동,20233,3298231
240,강남구 대치2동,20234,3163392
241,강남구 대치2동,20241,3269096
242,강남구 대치2동,20241,2945414
243,강남구 대치2동,20241,3416795
244,강남구 대치2동,20242,3335440
245,강남구 대치2동,20242,3350085
246,강남구 대치2동,20242,3263932
247,강남구 대치2동,20242,3398065
248,강남구 대치4동,20221,2776637
249,강남구 대치4동,20221,2299340
250,강남구 대치4동,20221,2538364
251,강남구 대치4동,20222,2823122
252,강남구 대치4동,20222,3643965
253,강남구 대치4동,20222,3043951
254,강남구 대치4동,20222,3242565
255,강남구 대치4동,20223,3160708
256,강남구 대치4동,20223,2997713
257,강남구 대치4동,20223,3132404
258,강남구 대치4동,20223,3096214
259,강남구 대치4동,20224,2983823
260,강남구 대치4동,20231,3011009
261,강남구 대치4동,20231,3001043
262,강남구 대치4동,20231,3302082
263,강남구 대치4동,20232,3071967
264,강남구 대치4동,20232,3235943
265,강남구 대치4동,20232,3232062
266,강남구 대치4동,20232,3299151
267,강남구 대치4동,20233,3329788
268,강남구 대치4동,20233,3075753
269,강남구 대치4동,20233,3139383
270,강남구 대치4동,20233,3119852
271,강남구 대치4동,20234,2945261
272,강남구 대치4동,20241,3302694
273,강남구 대치4동,20241,2883522
274,강남구 대치4동,20241,3256512
275,강남구 대치4동,20242,3184612
276,강남구 대치4동,20242,3281756
277,강남구 대치4동,20242,3217188
278,강남구 대치4동,20242,3439332
279,강남구 도곡1동,20221,1875340
280,강남구 도곡1동,20221,1604187
281,강남구 도곡1동,20221,1821471
282,강남구 도곡1동,20222,2059125
283,강남구 도곡1동,20222,2703863
284,강남구 도곡1동,20222,2208430
285,강남구 도곡1동,20222,2236448
286,강남구 도곡1동,20223,2138756
287,강남구 도곡1동,20223,2110485
288,강남구 도곡1동,20223,2184462
289,강남구 도곡1동,20223,2207632
290,강남구 도곡1동,20224,2204043
291,강남구 도곡1동,20231,2084656
292,강남구 도곡1동,20231,2091741
293,강남구 도곡1동,20231,2365605
294,강남구 도곡1동,20232,2235850
295,강남구 도곡1동,20232,2431182
296,강남구 도곡1동,20232,2416371
297,강남구 도곡1동,20232,2377237
298,강남구 도곡1동,20233,2342442
299,강남구 도곡1동,20233,2322565
300,강남구 도곡1동,20233,2424754
301,강남구 도곡1동,20233,2535762
302,강남구 도곡1동,20234,2515552
303,강남구 도곡1동,20241,2546762
304,강남구 도곡1동,20241,2337419
305,강남구 도곡1동,20241,2666294
306,강남구 도곡1동,20242,2649245
307,강남구 도곡1동,20242,2654003
308,강남구 도곡1동,20242,2556924
309,강남구 도곡1동,20242,2719347
310,강남구 도곡2동,20221,1350208
311,강남구 도곡2동,20221,1161344
312,강남구 도곡2동,20221,1356420
313,강남구 도곡2동,20222,1569848
314,강남구 도곡2동,20222,1978855
315,강남구 도곡2동,20222,1595462
316,강남구 도곡2동,20222,1590105
317,강남구 도곡2동,20223,1552602
318,강남구 도곡2동,20223,1581821
319,강남구 도곡2동,20223,1614561
320,강남구 도곡2동,20223,1616327
321,강남구 도곡2동,20224,1544789
322,강남구 도곡2동,20231,1426842
323,강남구 도곡2동,20231,1471474
324,강남구 도곡2동,20231,1792582
325,강남구 도곡2동,20232,1709060
326,강남구 도곡2동,20232,1723573
327,강남구 도곡2동,20232,1703445
328,강남구 도곡2동,20232,1680122
329,강남구 도곡2동,20233,1678425
330,강남구 도곡2동,20233,1676328
331,강남구 도곡2동,20233,1719922
332,강남구 도곡2동,20233,1640521
333,강남구 도곡2동,20234,1617207
334,강남구 도곡2동,20241,1616291
335,강남구 도곡2동,20241,1499035
336,강남구 도곡2동,20241,1799789
337,강남구 도곡2동,20242,1865785
338,강남구 도곡2동,20242,1833143
339,강남구 도곡2동,20242,1777872
340,강남구 도곡2동,20242,1813315
341,강남구 삼성1동,20221,3320704
342,강남구 삼성1동,20221,2853838
343,강남구 삼성1동,20221,3127887
344,강남구 삼성1동,20222,3573478
345,강남구 삼성1동,20222,4912526
346,강남구 삼성1동,20222,4103291
347,강남구 삼성1동,20222,4492696
348,강남구 삼성1동,20223,4079341
349,강남구 삼성1동,20223,3856776
350,강남구 삼성1동,20223,3958263
351,강남구 삼성1동,20223,4072231
352,강남구 삼성1동,20224,4328301
353,강남구 삼성1동,20231,3669153
354,강남구 삼성1동,20231,3806510
355,강남구 삼성1동,20231,4138879
356,강남구 삼성1동,20232,3941738
357,강남구 삼성1동,20232,4191116
358,강남구 삼성1동,20232,4105764
359,강남구 삼성1동,20232,4467312
360,강남구 삼성1동,20233,4333621
361,강남구 삼성1동,20233,3838194
362,강남구 삼성1동,20233,3876196
363,강남구 삼성1동,20233,4104289
364,강남구 삼성1동,20234,4240432
365,강남구 삼성1동,20241,3856718
366,강남구 삼성1동,20241,3655357
367,강남구 삼성1동,20241,4195739
368,강남구 삼성1동,20242,3926165
369,강남구 삼성1동,20242,4323201
370,강남구 삼성1동,20242,4113419
371,강남구 삼성1동,20242,4394923
372,강남구 삼성2동,20221,2060415
373,강남구 삼성2동,20221,1782939
374,강남구 삼성2동,20221,2010883
375,강남구 삼성2동,20222,2278297
376,강남구 삼성2동,20222,2935062
377,강남구 삼성2동,20222,2384999
378,강남구 삼성2동,20222,2456030
379,강남구 삼성2동,20223,2399637
380,강남구 삼성2동,20223,2380840
381,강남구 삼성2동,20223,2510686
382,강남구 삼성2동,20223,2573821
383,강남구 삼성2동,20224,2498365
384,강남구 삼성2동,20231,2325524
385,강남구 삼성2동,20231,2383179
386,강남구 삼성2동,20231,2720589
387,강남구 삼성2동,20232,2542738
388,강남구 삼성2동,20232,2614035
389,강남구 삼성2동,20232,2561671
390,강남구 삼성2동,20232,2610301
391,강남구 삼성2동,20233,2565530
392,강남구 삼성2동,20233,2427226
393,강남구 삼성2동,20233,2502288
394,강남구 삼성2동,20233,2568252
395,강남구 삼성2동,20234,2460350
396,강남구 삼성2동,20241,2532177
397,강남구 삼성2동,20241,2262630
398,강남구 삼성2동,20241,2569002
399,강남구 삼성2동,20242,2593223
400,강남구 삼성2동,20242,2647393
401,강남구 삼성2동,20242,2532859
402,강남구 삼성2동,20242,2657031
403,강남구 세곡동,20221,1455490
404,강남구 세곡동,20221,1291211
405,강남구 세곡동,20221,1454479
406,강남구 세곡동,20222,1627054
407,강남구 세곡동,20222,2113969
408,강남구 세곡동,20222,1665474
409,강남구 세곡동,20222,1707041
410,강남구 세곡동,20223,1646572
411,강남구 세곡동,20223,1672715
412,강남구 세곡동,20223,1730125
413,강남구 세곡동,20223,1684608
414,강남구 세곡동,20224,1641720
415,강남구 세곡동,20231,1553448
416,강남구 세곡동,20231,1554864
417,강남구 세곡동,20231,1851418
418,강남구 세곡동,20232,1785655
419,강남구 세곡동,20232,1846245
420,강남구 세곡동,20232,1790375
421,강남구 세곡동,20232,1794152
422,강남구 세곡동,20233,1785296
423,강남구 세곡동,20233,1779944
424,강남구 세곡동,20233,1851055
425,강남구 세곡동,20233,1784665
426,강남구 세곡동,20234,1745865
427,강남구 세곡동,20241,1711619
428,강남구 세곡동,20241,1578608
429,강남구 세곡동,20241,1840800
430,강남구 세곡동,20242,1839058
431,강남구 세곡동,20242,1896070
432,강남구 세곡동,20242,1837252
433,강남구 세곡동,20242,1864278
434,강남구 수서동,20221,1207527
435,강남구 수서동,20221,1046985
436,강남구 수서동,20221,1183181
437,강남구 수서동,20222,1373373
438,강남구 수서동,20222,1794790
439,강남구 수서동,20222,1454646
440,강남구 수서동,20222,1492739
441,강남구 수서동,20223,1417056
442,강남구 수서동,20223,1415277
443,강남구 수서동,20223,1482508
444,강남구 수서동,20223,1486232
445,강남구 수서동,20224,1463307
446,강남구 수서동,20231,1363526
447,강남구 수서동,20231,1399486
448,강남구 수서동,20231,1597019
449,강남구 수서동,20232,1541548
450,강남구 수서동,20232,1568913
451,강남구 수서동,20232,1540326
452,강남구 수서동,20232,1531310
453,강남구 수서동,20233,1517117
454,강남구 수서동,20233,1503066
455,강남구 수서동,20233,1573055
456,강남구 수서동,20233,1573142
457,강남구 수서동,20234,1540836
458,강남구 수서동,20241,1523679
459,강남구 수서동,20241,1412930
460,강남구 수서동,20241,1598968
461,강남구 수서동,20242,1596906
462,강남구 수서동,20242,1612052
463,강남구 수서동,20242,1519821
464,강남구 수서동,20242,1582189
465,강남구 신사동,20221,2474412
466,강남구 신사동,20221,2113944
467,강남구 신사동,20221,2376303
468,강남구 신사동,20222,2759178
469,강남구 신사동,20222,3644780
470,강남구 신사동,20222,2966953
471,강남구 신사동,20222,3051060
472,강남구 신사동,20223,2890125
473,강남구 신사동,20223,2855962
474,강남구 신사동,20223,2972301
475,강남구 신사동,20223,2855444
476,강남구 신사동,20224,2902557
477,강남구 신사동,20231,2654550
478,강남구 신사동,20231,2713658
479,강남구 신사동,20231,2970061
480,강남구 신사동,20232,2817210
481,강남구 신사동,20232,2890769
482,강남구 신사동,20232,2922226
483,강남구 신사동,20232,2868486
484,강남구 신사동,20233,2765312
485,강남구 신사동,20233,2676468
486,강남구 신사동,20233,2757524
487,강남구 신사동,20233,2676840
488,강남구 신사동,20234,2746745
489,강남구 신사동,20241,2616611
490,강남구 신사동,20241,2363388
491,강남구 신사동,20241,2729133
492,강남구 신사동,20242,2733495
493,강남구 신사동,20242,2796552
494,강남구 신사동,20242,2786320
495,강남구 신사동,20242,2839155
496,강남구 압구정동,20221,2990851
497,강남구 압구정동,20221,2560447
498,강남구 압구정동,20221,2941315
499,강남구 압구정동,20222,3362296
500,강남구 압구정동,20222,4361944
501,강남구 압구정동,20222,3532873
502,강남구 압구정동,20222,3676284
503,강남구 압구정동,20223,3485824
504,강남구 압구정동,20223,3378007
505,강남구 압구정동,20223,3573526
506,강남구 압구정동,20223,3495550
507,강남구 압구정동,20224,3664639
508,강남구 압구정동,20231,3281645
509,강남구 압구정동,20231,3307906
510,강남구 압구정동,20231,3715458
511,강남구 압구정동,20232,3588850
512,강남구 압구정동,20232,3658291
513,강남구 압구정동,20232,3678361
514,강남구 압구정동,20232,3687432
515,강남구 압구정동,20233,3515668
516,강남구 압구정동,20233,3382452
517,강남구 압구정동,20233,3503996
518,강남구 압구정동,20233,3438393
519,강남구 압구정동,20234,3624416
520,강남구 압구정동,20241,3390391
521,강남구 압구정동,20241,3115256
522,강남구 압구정동,20241,3623196
523,강남구 압구정동,20242,3520222
524,강남구 압구정동,20242,3616365
525,강남구 압구정동,20242,3480126
526,강남구 압구정동,20242,3575060
527,강남구 역삼1동,20221,8060136
528,강남구 역삼1동,20221,6802875
529,강남구 역삼1동,20221,7670211
530,강남구 역삼1동,20222,8697197
531,강남구 역삼1동,20222,11398883
532,강남구 역삼1동,20222,9254675
533,강남구 역삼1동,20222,9655844
534,강남구 역삼1동,20223,9163119
535,강남구 역삼1동,20223,8865392
536,강남구 역삼1동,20223,9183623
537,강남구 역삼1동,20223,9372288
538,강남구 역삼1동,20224,9308358
539,강남구 역삼1동,20231,8885774
540,강남구 역삼1동,20231,9177802
541,강남구 역삼1동,20231,10070371
542,강남구 역삼1동,20232,9259680
543,강남구 역삼1동,20232,9613040
544,강남구 역삼1동,20232,9598020
545,강남구 역삼1동,20232,9764458
546,강남구 역삼1동,20233,9536122
547,강남구 역삼1동,20233,8852768
548,강남구 역삼1동,20233,9142368
549,강남구 역삼1동,20233,9471830
550,강남구 역삼1동,20234,9214146
551,강남구 역삼1동,20241,9616357
552,강남구 역삼1동,20241,8568909
553,강남구 역삼1동,20241,9517589
554,강남구 역삼1동,20242,9402698
555,강남구 역삼1동,20242,9528107
556,강남구 역삼1동,20242,9147682
557,강남구 역삼1동,20242,9872966
558,강남구 역삼2동,20221,2314210
559,강남구 역삼2동,20221,1964526
560,강남구 역삼2동,20221,2235784
561,강남구 역삼2동,20222,2464412
562,강남구 역삼2동,20222,3164933
563,강남구 역삼2동,20222,2609054
564,강남구 역삼2동,20222,2677944
565,강남구 역삼2동,20223,2591952
566,강남구 역삼2동,20223,2543978
567,강남구 역삼2동,20223,2622532
568,강남구 역삼2동,20223,2695180
569,강남구 역삼2동,20224,2622911
570,강남구 역삼2동,20231,2495411
571,강남구 역삼2동,20231,2491088
572,강남구 역삼2동,20231,2881230
573,강남구 역삼2동,20232,2688595
574,강남구 역삼2동,20232,2707217
575,강남구 역삼2동,20232,2694477
576,강남구 역삼2동,20232,2736803
577,강남구 역삼2동,20233,2689942
578,강남구 역삼2동,20233,2582721
579,강남구 역삼2동,20233,2645492
580,강남구 역삼2동,20233,2648365
581,강남구 역삼2동,20234,2554759
582,강남구 역삼2동,20241,2670990
583,강남구 역삼2동,20241,2334029
584,강남구 역삼2동,20241,2717339
585,강남구 역삼2동,20242,2676205
586,강남구 역삼2동,20242,2703914
587,강남구 역삼2동,20242,2634589
588,강남구 역삼2동,20242,2855753
589,강남구 일원1동,20221,533920
590,강남구 일원1동,20221,465012
591,강남구 일원1동,20221,522672
592,강남구 일원1동,20222,588408
593,강남구 일원1동,20222,758226
594,강남구 일원1동,20222,595509
595,강남구 일원1동,20222,594543
596,강남구 일원1동,20223,583696
597,강남구 일원1동,20223,600924
598,강남구 일원1동,20223,626092
599,강남구 일원1동,20223,602643
600,강남구 일원1동,20224,586163
601,강남구 일원1동,20231,559016
602,강남구 일원1동,20231,558674
603,강남구 일원1동,20231,654255
604,강남구 일원1동,20232,636567
605,강남구 일원1동,20232,663207
606,강남구 일원1동,20232,659474
607,강남구 일원1동,20232,655135
608,강남구 일원1동,20233,638719
609,강남구 일원1동,20233,626828
610,강남구 일원1동,20233,646584
611,강남구 일원1동,20233,614662
612,강남구 일원1동,20234,612139
613,강남구 일원1동,20241,601210
614,강남구 일원1동,20241,568460
615,강남구 일원1동,20241,648913
616,강남구 일원1동,20242,672092
617,강남구 일원1동,20242,683427
618,강남구 일원1동,20242,663868
619,강남구 일원1동,20242,669130
620,강남구 일원본동,20221,1283014
621,강남구 일원본동,20221,1127492
622,강남구 일원본동,20221,1244620
623,강남구 일원본동,20222,1391632
624,강남구 일원본동,20222,1773331
625,강남구 일원본동,20222,1430717
626,강남구 일원본동,20222,1437611
627,강남구 일원본동,20223,1415391
628,강남구 일원본동,20223,1417411
629,강남구 일원본동,20223,1447456
630,강남구 일원본동,20223,1463499
631,강남구 일원본동,20224,1400374
632,강남구 일원본동,20231,1344791
633,강남구 일원본동,20231,1336362
634,강남구 일원본동,20231,1540446
635,강남구 일원본동,20232,1479813
636,강남구 일원본동,20232,1534327
637,강남구 일원본동,20232,1530978
638,강남구 일원본동,20232,1514467
639,강남구 일원본동,20233,1535319
640,강남구 일원본동,20233,1464406
641,강남구 일원본동,20233,1525723
642,강남구 일원본동,20233,1495047
643,강남구 일원본동,20234,1448188
644,강남구 일원본동,20241,1453380
645,강남구 일원본동,20241,1312403
646,강남구 일원본동,20241,1444539
647,강남구 일원본동,20242,1469247
648,강남구 일원본동,20242,1494121
649,강남구 일원본동,20242,1448393
650,강남구 일원본동,20242,1504792
651,강남구 청담동,20221,2537464
652,강남구 청담동,20221,2230467
653,강남구 청담동,20221,2545385
654,강남구 청담동,20222,2901100
655,강남구 청담동,20222,3683619
656,강남구 청담동,20222,2993923
657,강남구 청담동,20222,2997591
658,강남구 청담동,20223,2899591
659,강남구 청담동,20223,2871421
660,강남구 청담동,20223,2966768
661,강남구 청담동,20223,2891137
662,강남구 청담동,20224,2907548
663,강남구 청담동,20231,2573433
664,강남구 청담동,20231,2679370
665,강남구 청담동,20231,3075294
666,강남구 청담동,20232,2944138
667,강남구 청담동,20232,3029191
668,강남구 청담동,20232,2959711
669,강남구 청담동,20232,2898663
670,강남구 청담동,20233,2845598
671,강남구 청담동,20233,2774863
672,강남구 청담동,20233,2849854
673,강남구 청담동,20233,2808207
674,강남구 청담동,20234,2795831
675,강남구 청담동,20241,2671745
676,강남구 청담동,20241,2426989
677,강남구 청담동,20241,2868292
678,강남구 청담동,20242,2949422
679,강남구 청담동,20242,3030592
680,강남구 청담동,20242,2901779
681,강남구 청담동,20242,2964510
682,강동구 강일동,20221,2025768
683,강동구 강일동,20221,1714331
684,강동구 강일동,20221,1909061
685,강동구 강일동,20222,2243537
686,강동구 강일동,20222,2946343
687,강동구 강일동,20222,2356790
688,강동구 강일동,20222,2388052
689,강동구 강일동,20223,2300327
690,강동구 강일동,20223,2339598
691,강동구 강일동,20223,2399822
692,강동구 강일동,20223,2406980
693,강동구 강일동,20224,2321625
694,강동구 강일동,20231,2174946
695,강동구 강일동,20231,2165820
696,강동구 강일동,20231,2633888
697,강동구 강일동,20232,2559558
698,강동구 강일동,20232,2626622
699,강동구 강일동,20232,2586073
700,강동구 강일동,20232,2545533
701,강동구 강일동,20233,2505059
702,강동구 강일동,20233,2479273
703,강동구 강일동,20233,2550529
704,강동구 강일동,20233,2469154
705,강동구 강일동,20234,2454819
706,강동구 강일동,20241,2419457
707,강동구 강일동,20241,2256797
708,강동구 강일동,20241,2714092
709,강동구 강일동,20242,2778409
710,강동구 강일동,20242,2791316
