행정동명,연월,유입인구
서울특별시 강남구 논현1동,2022년 04월,"2,845,559"
서울특별시 강남구 논현1동,2022년 05월,"3,677,023"
서울특별시 강남구 논현1동,2022년 06월,"2,995,506"
서울특별시 강남구 논현1동,2022년 07월,"3,075,573"
서울특별시 강남구 논현1동,2022년 08월,"2,963,830"
서울특별시 강남구 논현1동,2022년 09월,"2,883,798"
서울특별시 강남구 논현1동,2022년 10월,"2,999,188"
서울특별시 강남구 논현1동,2022년 11월,"3,036,620"
서울특별시 강남구 논현1동,2022년 12월,"3,031,074"
서울특별시 강남구 논현1동,2023년 01월,"2,854,459"
서울특별시 강남구 논현1동,2023년 02월,"2,906,826"
서울특별시 강남구 논현1동,2023년 03월,"3,226,179"
서울특별시 강남구 논현1동,2023년 04월,"2,998,896"
서울특별시 강남구 논현1동,2023년 05월,"3,085,078"
서울특별시 강남구 논현1동,2023년 06월,"3,040,028"
서울특별시 강남구 논현1동,2023년 07월,"3,035,062"
서울특별시 강남구 논현1동,2023년 08월,"2,964,323"
서울특별시 강남구 논현1동,2023년 09월,"2,811,337"
서울특별시 강남구 논현1동,2023년 10월,"2,910,704"
서울특별시 강남구 논현1동,2023년 11월,"2,991,771"
서울특별시 강남구 논현1동,2023년 12월,"3,002,690"
서울특별시 강남구 논현1동,2024년 01월,"3,046,339"
서울특별시 강남구 논현1동,2024년 02월,"2,748,720"
서울특별시 강남구 논현1동,2024년 03월,"2,996,525"
서울특별시 강남구 논현1동,2024년 04월,"2,983,140"
서울특별시 강남구 논현1동,2024년 05월,"3,016,654"
서울특별시 강남구 논현1동,2024년 06월,"2,896,811"
서울특별시 강남구 논현1동,2024년 07월,"3,070,584"
서울특별시 강남구 논현2동,2022년 01월,"2,609,511"
서울특별시 강남구 논현2동,2022년 02월,"2,293,952"
서울특별시 강남구 논현2동,2022년 03월,"2,731,184"
서울특별시 강남구 논현2동,2022년 04월,"3,101,728"
서울특별시 강남구 논현2동,2022년 05월,"3,924,396"
서울특별시 강남구 논현2동,2022년 06월,"3,175,457"
서울특별시 강남구 논현2동,2022년 07월,"3,238,976"
서울특별시 강남구 논현2동,2022년 08월,"3,167,565"
서울특별시 강남구 논현2동,2022년 09월,"3,111,691"
서울특별시 강남구 논현2동,2022년 10월,"3,260,606"
서울특별시 강남구 논현2동,2022년 11월,"3,328,099"
서울특별시 강남구 논현2동,2022년 12월,"3,238,015"
서울특별시 강남구 논현2동,2023년 01월,"2,985,244"
서울특별시 강남구 논현2동,2023년 02월,"3,070,029"
서울특별시 강남구 논현2동,2023년 03월,"3,496,473"
서울특별시 강남구 논현2동,2023년 04월,"3,259,219"
서울특별시 강남구 논현2동,2023년 05월,"3,346,764"
서울특별시 강남구 논현2동,2023년 06월,"3,370,895"
서울특별시 강남구 논현2동,2023년 07월,"3,330,519"
서울특별시 강남구 논현2동,2023년 08월,"3,318,629"
서울특별시 강남구 논현2동,2023년 09월,"3,170,272"
서울특별시 강남구 논현2동,2023년 10월,"3,265,903"
서울특별시 강남구 논현2동,2023년 11월,"3,352,982"
서울특별시 강남구 논현2동,2023년 12월,"3,204,511"
서울특별시 강남구 논현2동,2024년 01월,"3,255,567"
서울특별시 강남구 논현2동,2024년 02월,"2,905,471"
서울특별시 강남구 논현2동,2024년 03월,"3,352,793"
서울특별시 강남구 논현2동,2024년 04월,"3,354,583"
서울특별시 강남구 논현2동,2024년 05월,"3,391,235"
서울특별시 강남구 논현2동,2024년 06월,"3,238,806"
서울특별시 강남구 논현2동,2024년 07월,"3,446,952"
서울특별시 강남구 대치1동,2022년 01월,"1,732,332"
서울특별시 강남구 대치1동,2022년 02월,"1,464,968"
서울특별시 강남구 대치1동,2022년 03월,"1,645,654"
서울특별시 강남구 대치1동,2022년 04월,"1,826,909"
서울특별시 강남구 대치1동,2022년 05월,"2,266,987"
서울특별시 강남구 대치1동,2022년 06월,"1,918,376"
서울특별시 강남구 대치1동,2022년 07월,"1,927,299"
서울특별시 강남구 대치1동,2022년 08월,"1,900,310"
서울특별시 강남구 대치1동,2022년 09월,"1,919,279"
서울특별시 강남구 대치1동,2022년 10월,"1,948,302"
서울특별시 강남구 대치1동,2022년 11월,"1,903,950"
서울특별시 강남구 대치1동,2022년 12월,"1,808,574"
서울특별시 강남구 대치1동,2023년 01월,"1,797,939"
서울특별시 강남구 대치1동,2023년 02월,"1,818,227"
서울특별시 강남구 대치1동,2023년 03월,"2,114,779"
서울특별시 강남구 대치1동,2023년 04월,"1,959,261"
서울특별시 강남구 대치1동,2023년 05월,"2,019,007"
서울특별시 강남구 대치1동,2023년 06월,"1,999,300"
서울특별시 강남구 대치1동,2023년 07월,"1,979,847"
서울특별시 강남구 대치1동,2023년 08월,"2,018,989"
서울특별시 강남구 대치1동,2023년 09월,"1,991,028"
서울특별시 강남구 대치1동,2023년 10월,"2,024,065"
서울특별시 강남구 대치1동,2023년 11월,"1,945,653"
서울특별시 강남구 대치1동,2023년 12월,"1,826,890"
서울특별시 강남구 대치1동,2024년 01월,"1,973,507"
서울특별시 강남구 대치1동,2024년 02월,"1,782,301"
서울특별시 강남구 대치1동,2024년 03월,"2,104,621"
서울특별시 강남구 대치1동,2024년 04월,"2,066,097"
서울특별시 강남구 대치1동,2024년 05월,"2,081,015"
서울특별시 강남구 대치1동,2024년 06월,"2,055,149"
서울특별시 강남구 대치1동,2024년 07월,"2,104,945"
서울특별시 강남구 대치2동,2022년 01월,"2,719,985"
서울특별시 강남구 대치2동,2022년 02월,"2,328,740"
서울특별시 강남구 대치2동,2022년 03월,"2,585,261"
서울특별시 강남구 대치2동,2022년 04월,"2,920,518"
서울특별시 강남구 대치2동,2022년 05월,"3,789,935"
서울특별시 강남구 대치2동,2022년 06월,"3,088,092"
서울특별시 강남구 대치2동,2022년 07월,"3,167,397"
서울특별시 강남구 대치2동,2022년 08월,"3,093,931"
서울특별시 강남구 대치2동,2022년 09월,"3,031,695"
서울특별시 강남구 대치2동,2022년 10월,"3,208,697"
서울특별시 강남구 대치2동,2022년 11월,"3,204,012"
서울특별시 강남구 대치2동,2022년 12월,"3,132,525"
서울특별시 강남구 대치2동,2023년 01월,"2,948,703"
서울특별시 강남구 대치2동,2023년 02월,"3,060,721"
서울특별시 강남구 대치2동,2023년 03월,"3,512,778"
서울특별시 강남구 대치2동,2023년 04월,"3,288,172"
서울특별시 강남구 대치2동,2023년 05월,"3,356,212"
서울특별시 강남구 대치2동,2023년 06월,"3,330,342"
서울특별시 강남구 대치2동,2023년 07월,"3,276,992"
서울특별시 강남구 대치2동,2023년 08월,"3,307,963"
서울특별시 강남구 대치2동,2023년 09월,"3,156,045"
서울특별시 강남구 대치2동,2023년 10월,"3,239,537"
서울특별시 강남구 대치2동,2023년 11월,"3,298,231"
서울특별시 강남구 대치2동,2023년 12월,"3,163,392"
서울특별시 강남구 대치2동,2024년 01월,"3,269,096"
서울특별시 강남구 대치2동,2024년 02월,"2,945,414"
서울특별시 강남구 대치2동,2024년 03월,"3,416,795"
서울특별시 강남구 대치2동,2024년 04월,"3,335,440"
서울특별시 강남구 대치2동,2024년 05월,"3,350,085"
서울특별시 강남구 대치2동,2024년 06월,"3,263,932"
서울특별시 강남구 대치2동,2024년 07월,"3,398,065"
서울특별시 강남구 대치4동,2022년 01월,"2,776,637"
서울특별시 강남구 대치4동,2022년 02월,"2,299,340"
서울특별시 강남구 대치4동,2022년 03월,"2,538,364"
서울특별시 강남구 대치4동,2022년 04월,"2,823,122"
서울특별시 강남구 대치4동,2022년 05월,"3,643,965"
서울특별시 강남구 대치4동,2022년 06월,"3,043,951"
서울특별시 강남구 대치4동,2022년 07월,"3,242,565"
서울특별시 강남구 대치4동,2022년 08월,"3,160,708"
서울특별시 강남구 대치4동,2022년 09월,"2,997,713"
서울특별시 강남구 대치4동,2022년 10월,"3,132,404"
서울특별시 강남구 대치4동,2022년 11월,"3,096,214"
서울특별시 강남구 대치4동,2022년 12월,"2,983,823"
서울특별시 강남구 대치4동,2023년 01월,"3,011,009"
서울특별시 강남구 대치4동,2023년 02월,"3,001,043"
서울특별시 강남구 대치4동,2023년 03월,"3,302,082"
서울특별시 강남구 대치4동,2023년 04월,"3,071,967"
서울특별시 강남구 대치4동,2023년 05월,"3,235,943"
서울특별시 강남구 대치4동,2023년 06월,"3,232,062"
서울특별시 강남구 대치4동,2023년 07월,"3,299,151"
서울특별시 강남구 대치4동,2023년 08월,"3,329,788"
서울특별시 강남구 대치4동,2023년 09월,"3,075,753"
서울특별시 강남구 대치4동,2023년 10월,"3,139,383"
서울특별시 강남구 대치4동,2023년 11월,"3,119,852"
서울특별시 강남구 대치4동,2023년 12월,"2,945,261"
서울특별시 강남구 대치4동,2024년 01월,"3,302,694"
서울특별시 강남구 대치4동,2024년 02월,"2,883,522"
서울특별시 강남구 대치4동,2024년 03월,"3,256,512"
서울특별시 강남구 대치4동,2024년 04월,"3,184,612"
서울특별시 강남구 대치4동,2024년 05월,"3,281,756"
서울특별시 강남구 대치4동,2024년 06월,"3,217,188"
서울특별시 강남구 대치4동,2024년 07월,"3,439,332"
서울특별시 강남구 도곡1동,2022년 01월,"1,875,340"
서울특별시 강남구 도곡1동,2022년 02월,"1,604,187"
서울특별시 강남구 도곡1동,2022년 03월,"1,821,471"
서울특별시 강남구 도곡1동,2022년 04월,"2,059,125"
서울특별시 강남구 도곡1동,2022년 05월,"2,703,863"
서울특별시 강남구 도곡1동,2022년 06월,"2,208,430"
서울특별시 강남구 도곡1동,2022년 07월,"2,236,448"
